Unnamed: 0,Sales_ID,Product_Category,Sales_Amount,Discount,Sales_Region,Date_of_Sale,Customer_Age,Customer_Gender,Sales_Representative
75721,72447c01-287f-4dc4-af2a-e9a4f379c03a,Beauty,452.08,39.49,Rhondahaven,2024-08-23,20.0,Male,Anthony Hamilton
80184,3cf73690-a98f-41ab-af69-63cc68bc4c7b,Music,822.41,41.47,North Amber,2024-01-05,39.0,Other,Lauren Cabrera
19864,c32b36a5-38a9-4a73-941c-233b5797ce93,Movies,777.27,41.93,Angelaville,2024-06-09,58.0,Male,Emily Knox
76699,bef61ccd-31d8-4f3d-9cee-92f0ff3359c7,Appliances,642.74,31.78,Yoderton,2024-03-14,55.0,Male,Todd Wells
92991,bc5da21f-a16f-4a35-bc5e-bd6b98e6611d,Movies,639.43,11.22,Lake Jessica,2024-03-22,52.0,Male,Jesse Pierce
76434,36c046bd-b45a-4a13-82b1-db6a0c36ad4a,Personal Care,103.95,35.73,Jeanmouth,2024-05-16,31.0,Male,Bradley Douglas
84004,fec30d53-90d5-47d5-972f-b9f289c2e945,Tools,684.71,10.25,Port Sarahville,2024-05-22,59.0,Male,Ashley Foley
80917,a77296db-4ce2-4038-8d81-0fe604f3a400,Software,486.73,16.12,North Anthonyberg,2024-03-06,49.0,Other,Emma Baxter
60767,028a81e2-9e09-4615-a486-a3be6ae6f2f4,Tools,,,Dennisview,2024-06-11,,,Mallory Hall
50074,46386461-49c6-447f-8766-26f5fb261a4e,Furniture,715.67,47.93,North Allenfurt,2024-08-26,22.0,Male,Kimberly Riley
27701,33928479-b6be-4c25-b013-3fe9d479d332,Office Supplies,402.25,29.01,Ebonyfort,2024-08-07,20.0,Male,Madeline Holt
42141,1ceb4068-2344-42bb-b1a4-935d8c5ec316,Toys,558.53,44.29,Lake Michael,2024-02-08,66.0,Other,Anthony Craig
45080,a26750f6-7f18-4827-83aa-4325460b2135,DIY,552.32,44.01,New Laura,2024-02-04,36.0,Other,Benjamin Crawford
16638,011a2e9f-3884-423e-b619-9a13f7653e07,Jewelry,324.44,2.43,West Patriciafurt,2024-02-01,64.0,Male,Rhonda White
20424,6547eb6d-13f4-4097-b041-b77c520efc8f,Sports,448.26,0.14,West Joseview,2024-04-05,52.0,Female,Megan Hoffman
88702,3fee6a8c-3a85-4627-9a32-68b99f833357,Groceries,717.11,33.11,Dylanmouth,2024-07-27,69.0,Female,William Rogers
149,df23d9fe-0918-4a4c-bdf5-f01201b10ec4,DIY,113.19,13.97,South Samuelhaven,2024-08-01,46.0,Female,Leah Wilson
1761,880bb5ca-6e3c-4565-a8fe-614e778bd152,Office Supplies,688.34,29.58,Williamsville,2024-07-07,37.0,Male,James Hicks
63120,4e6a59af-d753-4832-a0b7-c370abfd30bc,Books,692.95,36.03,Port Michael,2024-01-27,51.0,Other,Patricia Tanner
69161,4d760986-8bc8-4ec9-9a73-ac4f3e5f516a,Pet Supplies,826.36,1.85,New Julie,2024-03-19,59.0,Other,Maria Boyd
64883,9832189c-df44-4860-a384-5b8403b8c4fe,Personal Care,,,Douglasborough,2024-08-14,,,Michelle Norton
2495,64db7d5a-8b32-4f22-bc1a-2f41f4faf4ac,Personal Care,,,Simmonsland,2024-01-31,,,Kenneth Ibarra
80296,a37af11d-0548-4356-a1e7-346ad7c650a6,Movies,319.36,48.67,West Denise,2024-06-06,52.0,Other,Cynthia Jones
19447,70990645-72fd-45da-8563-f79fc9025a27,Office Supplies,298.18,6.1,Riddleport,2024-01-04,29.0,Male,Robert Whitaker
41331,911e3bf4-3ea5-4c2d-b6b3-4a2a180f7e32,Sports,172.21,14.05,New Matthewton,2024-03-21,66.0,Other,Faith Stanton
14888,1d52d35d-80ff-4575-909c-f5b227153793,Clothing,854.4,46.17,Thomasfort,2024-07-21,26.0,Female,Aaron Mcclure
88636,efc9178d-8d43-41f8-bd00-6304ddece212,Movies,189.19,16.61,Lake Kevinshire,2024-06-28,38.0,Female,Tracie Levine
94892,a9f3ef65-7f64-4f84-abbe-7a5ab2f0cbaa,Software,706.52,12.79,New Douglas,2024-07-15,48.0,Other,Anthony Smith
92731,b444018b-5ec5-4de5-9fe9-9c3ab330d8ad,Music,371.3,40.25,Joelfurt,2024-06-19,23.0,Female,Rebecca Stephens
29130,c6bcaa3b-adff-4371-af0a-36a9634873cb,Toys,796.98,13.87,Lake Brookeville,2024-01-19,21.0,Female,Richard Castaneda
79022,47ab1377-5677-4628-b6eb-b0cee99be833,Automotive,922.58,49.1,Denisefurt,2024-01-10,25.0,Other,Eric Potts
84936,95c67252-cb0d-4274-a675-a3a614a6d33e,Jewelry,171.85,30.31,East Alexander,2024-03-17,55.0,Female,Stephen Gray
16821,880f9c1f-3545-471e-b2c5-df1b3ca5bc9d,Books,126.64,36.57,Jeffreybury,2024-01-30,42.0,Female,Brian Conley
36733,96bd0ea5-492b-4332-ad9c-a8d70eaaf626,Baby Products,855.4,33.22,Lewismouth,2024-05-01,61.0,Male,John Wilson
15602,623e9b74-59d9-4757-9d72-2ce909eccdf9,Electronics,767.43,34.95,Hutchinsonburgh,2024-08-02,50.0,Male,Robin Allen
28533,8509d64d-3548-4975-93e2-65dc8a68989a,Home & Kitchen,812.17,44.79,South Emily,2024-05-11,59.0,Other,Kevin Johnson
69769,3160ef5d-4ac9-44ab-b104-576d00521534,Software,568.99,25.01,East Priscilla,2024-05-30,48.0,Male,Andrew Guerra
11405,eba38cf3-6ce6-4f82-93f7-69f8ee910f04,Groceries,550.55,44.38,North Travisfort,2024-06-03,59.0,Female,Jeremy Cuevas
96852,08119ff8-cdb7-431f-970e-c84e6964cce6,Tools,,,Port Abigailfort,2024-07-19,,,Mary Williams
16130,91072620-10b5-48b4-820d-1cb7a4a1c9e5,Electronics,787.98,42.67,East Bridget,2024-06-17,25.0,Other,Stephen Jenkins
19792,271ef786-354c-4d40-b71c-27695b3f7fbf,Clothing,519.7,48.12,Port Michaelhaven,2024-08-14,25.0,Other,David Campbell
89577,049bd64a-0b5c-4d6d-947a-47357708c5f1,Furniture,893.89,49.37,Nathanielshire,2024-03-05,21.0,Male,Samantha Summers
40163,7bc0bd01-d66c-4101-8c67-1000b202750f,Pet Supplies,,,East Ruthburgh,2024-03-20,,,Jennifer Evans
31776,2a2fd40a-c776-42a6-ab0d-26d9af8f2e70,Home & Kitchen,,,Lake Tyler,2024-01-17,,,Clinton Hood
25330,5c5ae55c-13b1-450b-b17e-1a61d566313f,Music,174.94,15.93,Wutown,2024-02-25,47.0,Female,Brandon West
79156,74ceceb7-fb75-497c-8a94-01f5eb388585,Pet Supplies,270.06,15.83,Lake Peter,2024-07-25,22.0,Female,Patrick Snyder
51685,73535100-b255-4ac3-84ea-208e7f94a173,Pet Supplies,176.03,16.36,North Paulbury,2024-02-20,41.0,Male,Stephen Moore
75498,cbc1aef2-9d2e-477f-b3e5-1f07605ce965,Baby Products,,,Lisachester,2024-08-13,,,John Gonzalez
4727,8fd24951-7a14-4bcc-87fa-ec1b8a0bf970,Movies,190.65,1.64,Blevinston,2024-05-22,28.0,Female,Kelly Knapp
85198,d8b16dd9-1c1f-40a6-b906-97a17d94b9f9,Personal Care,341.89,19.46,Mayochester,2024-02-09,26.0,Other,Vickie Khan
35795,2aeee746-9ffa-4606-b759-b8070b9e83ea,Tools,432.23,45.2,Bassborough,2024-02-01,19.0,Other,Patricia Graham
12256,2d56d408-f105-40cb-bad7-f209d100cd55,Home & Kitchen,705.96,48.27,North James,2024-05-15,42.0,Other,Michelle Hunt
35718,1fca6001-9806-45c5-b984-97b6fa57cc22,Jewelry,224.72,16.88,Gabrielashire,2024-03-11,58.0,Male,Dr. Bill Jenkins
70551,6a0ffbc7-26d4-4c9d-8679-e2c05afa608e,Baby Products,614.0,16.85,New Nicole,2024-03-06,22.0,Female,Jeffrey Pruitt
54374,1cb1769b-492a-4166-ac51-2ddf28f0ea10,Appliances,543.44,18.8,Lake Brittany,2024-08-15,30.0,Female,Jordan Ellis
39691,42889bc1-af75-45ac-a15a-ac16fd4946b3,Movies,935.9,2.66,Myersbury,2024-08-13,60.0,Other,Marcus Hall
93702,da8772ab-2698-4559-8b9c-207865f58d12,Software,356.32,35.74,East Traci,2024-05-12,23.0,Female,Kevin Buchanan
73691,395ac8b4-5c31-4f36-8e02-4214c2b9288e,Furniture,,,Browningbury,2024-08-01,,,Dawn Perkins
98070,a4c7bf41-0582-45a1-956d-aa8a009ac576,Health,824.75,12.32,East Charleschester,2024-03-13,47.0,Other,Isabel Gonzalez
575,63afe2a5-fb83-4b2c-b29c-c98fdb1d8cb4,Music,,,Russellport,2024-03-01,,,Mr. Justin Torres
84610,e7fbe326-a49a-4910-99e6-757929e241a3,Automotive,748.16,4.31,Whiteport,2024-01-14,67.0,Female,Anna Lyons
61769,0974a3b1-4bdd-491b-b837-11aa5210c790,DIY,869.22,34.85,Christopherchester,2024-04-04,68.0,Female,Michele Jones
32260,8237c1df-e09c-4b0b-93bf-18cbd69d558a,Pet Supplies,718.27,40.91,East Evanberg,2024-09-02,53.0,Male,Kimberly Novak
82199,f929634c-0acd-4069-b542-f1fabe94bd67,Software,324.16,40.73,Wilsonview,2024-02-10,41.0,Male,Jennifer Price
36290,b0177a3f-3a02-44d1-bcd2-02ac0bf91b54,Sports,794.53,17.2,West Kristin,2024-08-29,38.0,Other,Heather Miller
78449,83fa605d-fcfa-4a70-b84c-aec9e8bc0a10,Appliances,256.53,25.6,South Melissa,2024-05-13,30.0,Female,Patricia Smith
60055,76a9e419-a0e2-4b1d-b677-87e1b1a9cc54,Software,362.02,16.6,Meredithmouth,2024-05-03,23.0,Female,Zachary Ruiz
45948,56a942e0-f81b-441b-9e0e-bbf9d1962cd8,Tools,162.16,29.78,Port Lauriebury,2024-03-10,59.0,Male,Cameron Harding
28177,5aa1b211-68f4-4ba3-8daf-ced1f5c8286b,Books,,,Ortizberg,2024-05-21,,,Kathryn Bryant
84463,9c7ed3d2-ef39-4b00-bd60-835a98b59b5b,Beauty,922.46,15.25,North Johnland,2024-02-09,45.0,Male,Justin Jones
578,519ec9d2-33d1-4df5-90a6-9ea0bd82b0e5,Office Supplies,366.63,17.27,Amyview,2024-08-24,19.0,Other,Jonathan Harper
30959,35431ca7-9549-4719-8374-ab62e167d12b,Office Supplies,,,North Kelly,2024-03-16,,,Kimberly Wagner
64290,28ecda53-a89b-4fb5-b745-2b39350e3e1d,Personal Care,174.62,6.17,Hinesfurt,2024-05-14,57.0,Other,John Reeves
14531,2e08ef5e-5948-4284-8265-8e6004a994fa,Automotive,669.47,19.04,New Jeffrey,2024-07-17,31.0,Other,Susan Reid
17933,50ea6311-45b4-4c35-aad7-6cdea2e84296,Toys,392.92,41.85,Herringbury,2024-04-16,20.0,Other,Paula Nash
33608,94f218dd-1709-413d-8525-051ccc3a57f7,Beauty,686.01,22.94,Alexandermouth,2024-06-26,39.0,Male,Dustin Molina
49959,51400f7d-de84-4d70-8f33-ff048a738a7e,Music,239.4,0.17,Vaughanfurt,2024-04-02,53.0,Other,David Bell
66598,4cfcbc7e-edfc-4efd-ba20-b480b94344b3,Electronics,,,Howardfurt,2024-08-16,,,Sophia Chen
99089,5d037dfb-c980-4e42-b71e-0d3ec7033de3,Music,,,Christopherside,2024-03-11,,,John Henderson
34451,d615f430-1608-4ab0-8044-87beb5a057c3,Home & Kitchen,881.57,47.89,West George,2024-08-16,52.0,Female,Angelica Bryant
34080,34158818-c5a4-4201-8f95-d615b3182db6,Garden,952.26,25.65,New Maryburgh,2024-03-13,60.0,Female,Jason Potts
63587,8d397151-9c53-4167-abd0-9ad74f106f0a,Beauty,568.6,35.77,Zhangmouth,2024-04-17,41.0,Female,Bobby Walsh
4293,b7fdd186-814f-4d01-a877-0e83a0f74e09,Sports,455.78,5.5,Martinezchester,2024-03-18,31.0,Other,Tyler Kim
69102,c6298030-11c4-4c27-90b4-86d9304c93e9,Books,445.07,28.81,East Daniel,2024-08-14,67.0,Female,Jennifer Williams
86411,ea0369f4-69e8-446f-9ef7-8748e44b2820,Groceries,220.42,42.38,South Tamara,2024-04-22,61.0,Female,Tammy Johnson
99476,09c023c3-758c-4717-ae0c-ae4306438693,Movies,383.45,6.57,West Nathanielshire,2024-06-14,69.0,Male,Shawn Smith
53929,9c0ab623-97f0-4e70-aec1-4ce3caf0d2ba,Tools,714.6,9.42,Carolineside,2024-01-23,60.0,Other,Martha Martin
87070,cdbeb5ab-13b2-4968-8754-3915093c3931,Music,929.02,25.38,West Susan,2024-02-22,24.0,Female,Eric Shaw
65083,3f1bb50c-aa8a-45d0-808f-5f49457fc05b,Outdoor,932.06,36.48,Lake Jessicaborough,2024-01-11,34.0,Other,Dillon Sharp
